epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,109.442,1.07407,0.63875,0.97875,1.13882,0.07004,0.00332889,0.00332889
2,217.994,0.79794,0.33175,0.80475,2.3266,0.039974,0.00659627,0.00659627
3,326.639,0.77576,0.72092,0.9945,0.76929,0.00984209,0.00979764,0.00979764
4,435.384,0.7745,0.661,0.99092,0.9212,0.009703,0.009703,0.009703
5,544.517,0.74165,0.716,0.98642,0.93544,0.009604,0.009604,0.009604
6,653.718,0.7216,0.79908,0.99717,0.51323,0.009505,0.009505,0.009505
7,762.802,0.69383,0.80433,0.99692,0.50534,0.009406,0.009406,0.009406
8,872.16,0.67577,0.83117,0.99817,0.44997,0.009307,0.009307,0.009307
9,981.775,0.64493,0.83167,0.9975,0.4315,0.009208,0.009208,0.009208
10,1090.81,0.62714,0.82683,0.9975,0.4467,0.009109,0.009109,0.009109
11,1200.32,0.61458,0.8455,0.99808,0.40099,0.00901,0.00901,0.00901
12,1309.61,0.60701,0.83775,0.9975,0.41071,0.008911,0.008911,0.008911
13,1418.89,0.60031,0.84933,0.998,0.38627,0.008812,0.008812,0.008812
14,1528.27,0.58976,0.84792,0.998,0.38741,0.008713,0.008713,0.008713
15,1637.76,0.58829,0.86017,0.99783,0.37291,0.008614,0.008614,0.008614
16,1747.29,0.5789,0.85358,0.99783,0.37548,0.008515,0.008515,0.008515
17,1856.58,0.58132,0.85925,0.99775,0.3739,0.008416,0.008416,0.008416
18,1966.28,0.56326,0.863,0.99783,0.36574,0.008317,0.008317,0.008317
19,2075.46,0.56642,0.86408,0.99758,0.36293,0.008218,0.008218,0.008218
20,2184.91,0.55945,0.86458,0.998,0.36212,0.008119,0.008119,0.008119
21,2294.23,0.564,0.86567,0.99792,0.35973,0.00802,0.00802,0.00802
22,2403.82,0.55701,0.86267,0.99808,0.36379,0.007921,0.007921,0.007921
23,2513.18,0.55627,0.86308,0.99808,0.36307,0.007822,0.007822,0.007822
24,2622.83,0.55201,0.86375,0.998,0.36209,0.007723,0.007723,0.007723
25,2732.3,0.55082,0.86392,0.99792,0.36205,0.007624,0.007624,0.007624
26,2841.7,0.5426,0.86383,0.99783,0.36207,0.007525,0.007525,0.007525
27,2951.17,0.54084,0.8635,0.99767,0.36392,0.007426,0.007426,0.007426
28,3060.37,0.54343,0.86367,0.99767,0.36587,0.007327,0.007327,0.007327
29,3170.18,0.53943,0.86333,0.99758,0.36865,0.007228,0.007228,0.007228
30,3279.82,0.53941,0.86267,0.9975,0.37223,0.007129,0.007129,0.007129
31,3389.47,0.53524,0.86142,0.99742,0.37529,0.00703,0.00703,0.00703
