epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,109.404,1.07878,0.70333,0.99025,0.8972,0.07004,0.00332889,0.00332889
2,218.175,0.80806,0.73508,0.99142,0.73061,0.039974,0.00659627,0.00659627
3,327.149,0.78203,0.66267,0.967,0.99462,0.00984209,0.00979764,0.00979764
4,435.718,0.78316,0.71542,0.99383,0.77219,0.009703,0.009703,0.009703
5,544.326,0.75733,0.74783,0.99183,0.6819,0.009604,0.009604,0.009604
6,653.357,0.72173,0.74983,0.99367,0.63847,0.009505,0.009505,0.009505
7,762.29,0.69605,0.82417,0.99725,0.48837,0.009406,0.009406,0.009406
8,871.796,0.66836,0.79917,0.99708,0.5229,0.009307,0.009307,0.009307
9,981.505,0.66103,0.82167,0.99717,0.45906,0.009208,0.009208,0.009208
10,1091.07,0.63197,0.8155,0.99775,0.47094,0.009109,0.009109,0.009109
11,1200.57,0.62348,0.83192,0.99767,0.44052,0.00901,0.00901,0.00901
12,1310.31,0.61053,0.83083,0.998,0.416,0.008911,0.008911,0.008911
13,1419.26,0.5992,0.83433,0.998,0.42145,0.008812,0.008812,0.008812
14,1528.29,0.60533,0.83458,0.99842,0.40778,0.008713,0.008713,0.008713
15,1637.64,0.58538,0.85142,0.99867,0.3766,0.008614,0.008614,0.008614
16,1746.87,0.58204,0.84533,0.9985,0.38252,0.008515,0.008515,0.008515
17,1856.03,0.58326,0.85192,0.99867,0.38054,0.008416,0.008416,0.008416
18,1965.4,0.57269,0.84825,0.9985,0.38766,0.008317,0.008317,0.008317
19,2074.59,0.57384,0.85308,0.99825,0.37817,0.008218,0.008218,0.008218
20,2183.7,0.56811,0.85125,0.99833,0.37959,0.008119,0.008119,0.008119
21,2292.91,0.56517,0.85425,0.99817,0.37653,0.00802,0.00802,0.00802
22,2401.95,0.56292,0.85375,0.99817,0.37549,0.007921,0.007921,0.007921
23,2511.36,0.55251,0.85083,0.99817,0.38011,0.007822,0.007822,0.007822
24,2620.79,0.55349,0.84817,0.99817,0.38281,0.007723,0.007723,0.007723
25,2730.35,0.55047,0.84967,0.998,0.38423,0.007624,0.007624,0.007624
26,2839.88,0.54881,0.85042,0.99808,0.38716,0.007525,0.007525,0.007525
27,2949.14,0.54548,0.84917,0.998,0.39061,0.007426,0.007426,0.007426
28,3058.7,0.53759,0.84892,0.99792,0.39514,0.007327,0.007327,0.007327
29,3168.09,0.53739,0.84942,0.99783,0.39693,0.007228,0.007228,0.007228
30,3277.41,0.539,0.85017,0.99792,0.39878,0.007129,0.007129,0.007129
31,3387.38,0.53667,0.85175,0.998,0.39953,0.00703,0.00703,0.00703
32,3497.09,0.52949,0.852,0.99792,0.40207,0.006931,0.006931,0.006931
33,3606.16,0.53785,0.85033,0.99792,0.40447,0.006832,0.006832,0.006832
34,3715.53,0.52878,0.853,0.99792,0.40493,0.006733,0.006733,0.006733
35,3824.9,0.53197,0.85417,0.99792,0.4065,0.006634,0.006634,0.006634
36,3934.28,0.52353,0.85358,0.99775,0.41034,0.006535,0.006535,0.006535
