epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,101.005,0.94144,0.82142,0.99675,0.49785,0.07004,0.00332889,0.00332889
2,201.275,0.73577,0.82617,0.99658,0.47762,0.039974,0.00659627,0.00659627
3,301.855,0.76042,0.82342,0.99675,0.46971,0.00984209,0.00979764,0.00979764
4,402.419,0.75365,0.82008,0.99708,0.48517,0.009703,0.009703,0.009703
5,502.692,0.74458,0.8335,0.99725,0.45079,0.009604,0.009604,0.009604
6,602.864,0.72619,0.82283,0.997,0.47544,0.009505,0.009505,0.009505
7,703.031,0.72304,0.83808,0.99708,0.43318,0.009406,0.009406,0.009406
8,803.232,0.71159,0.84208,0.99725,0.42284,0.009307,0.009307,0.009307
9,903.776,0.69571,0.83183,0.99725,0.44782,0.009208,0.009208,0.009208
10,1003.68,0.6925,0.85133,0.99817,0.41408,0.009109,0.009109,0.009109
11,1103.87,0.69067,0.84358,0.99825,0.4184,0.00901,0.00901,0.00901
12,1204.15,0.68775,0.85125,0.99775,0.41309,0.008911,0.008911,0.008911
13,1304.18,0.67417,0.84617,0.99783,0.41389,0.008812,0.008812,0.008812
14,1404.26,0.67668,0.85158,0.998,0.40605,0.008713,0.008713,0.008713
15,1504.43,0.67739,0.84817,0.99808,0.41307,0.008614,0.008614,0.008614
16,1605.02,0.67685,0.85142,0.99783,0.403,0.008515,0.008515,0.008515
17,1705.06,0.67511,0.85558,0.998,0.39841,0.008416,0.008416,0.008416
18,1805.44,0.66879,0.85425,0.99808,0.39978,0.008317,0.008317,0.008317
19,1905.34,0.67082,0.85517,0.998,0.39993,0.008218,0.008218,0.008218
20,2005.42,0.66681,0.853,0.998,0.40368,0.008119,0.008119,0.008119
21,2105.73,0.66428,0.85292,0.99783,0.40577,0.00802,0.00802,0.00802
22,2206.15,0.66922,0.8525,0.99792,0.40589,0.007921,0.007921,0.007921
23,2306.3,0.67205,0.853,0.998,0.40477,0.007822,0.007822,0.007822
24,2407.38,0.66621,0.85292,0.99817,0.40412,0.007723,0.007723,0.007723
25,2507.74,0.66444,0.85308,0.998,0.4043,0.007624,0.007624,0.007624
26,2607.81,0.66198,0.85317,0.99792,0.40405,0.007525,0.007525,0.007525
27,2707.98,0.66133,0.85292,0.99792,0.40333,0.007426,0.007426,0.007426
