epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,101.841,0.94351,0.81417,0.99658,0.51674,0.07004,0.00332889,0.00332889
2,202.476,0.7339,0.81267,0.99792,0.53355,0.039974,0.00659627,0.00659627
3,303.29,0.74892,0.81025,0.99725,0.50799,0.00984209,0.00979764,0.00979764
4,403.743,0.75159,0.82683,0.99783,0.47388,0.009703,0.009703,0.009703
5,504.122,0.74104,0.83425,0.99733,0.46244,0.009604,0.009604,0.009604
6,604.485,0.72439,0.83775,0.99792,0.44497,0.009505,0.009505,0.009505
7,704.877,0.7169,0.84467,0.99792,0.42256,0.009406,0.009406,0.009406
8,805.481,0.70601,0.84167,0.99725,0.43514,0.009307,0.009307,0.009307
9,905.997,0.69725,0.84258,0.99833,0.42392,0.009208,0.009208,0.009208
10,1006.21,0.69067,0.83758,0.9975,0.44414,0.009109,0.009109,0.009109
11,1106.67,0.68267,0.85017,0.99842,0.41569,0.00901,0.00901,0.00901
12,1206.97,0.67477,0.85383,0.99833,0.40852,0.008911,0.008911,0.008911
13,1307.39,0.67777,0.85175,0.99817,0.40745,0.008812,0.008812,0.008812
14,1407.97,0.67931,0.85158,0.99842,0.407,0.008713,0.008713,0.008713
15,1508.34,0.67723,0.85425,0.99825,0.40346,0.008614,0.008614,0.008614
16,1608.73,0.67331,0.85158,0.99817,0.40981,0.008515,0.008515,0.008515
17,1709.24,0.6709,0.85542,0.99833,0.40125,0.008416,0.008416,0.008416
18,1809.87,0.6698,0.85225,0.9985,0.40382,0.008317,0.008317,0.008317
19,1910.05,0.67251,0.85533,0.99825,0.40108,0.008218,0.008218,0.008218
20,2010.88,0.6653,0.85575,0.99817,0.40007,0.008119,0.008119,0.008119
21,2112.12,0.66648,0.85583,0.9985,0.39852,0.00802,0.00802,0.00802
22,2213.47,0.66826,0.85592,0.9985,0.39749,0.007921,0.007921,0.007921
23,2314.4,0.66793,0.85458,0.9985,0.40005,0.007822,0.007822,0.007822
24,2415.32,0.66357,0.85392,0.99842,0.40057,0.007723,0.007723,0.007723
25,2515.92,0.66344,0.85467,0.99842,0.39977,0.007624,0.007624,0.007624
26,2616.28,0.65958,0.85517,0.99825,0.3994,0.007525,0.007525,0.007525
27,2716.76,0.66226,0.8545,0.99833,0.39993,0.007426,0.007426,0.007426
28,2817.36,0.65718,0.8545,0.99833,0.40003,0.007327,0.007327,0.007327
29,2917.99,0.65736,0.85425,0.99833,0.39955,0.007228,0.007228,0.007228
30,3018.74,0.65819,0.85442,0.99833,0.39941,0.007129,0.007129,0.007129
31,3119.53,0.65562,0.85458,0.99825,0.39962,0.00703,0.00703,0.00703
32,3220.07,0.65217,0.8555,0.99825,0.39913,0.006931,0.006931,0.006931
33,3320.71,0.65843,0.85542,0.99825,0.39902,0.006832,0.006832,0.006832
34,3421.29,0.65814,0.85642,0.99833,0.39809,0.006733,0.006733,0.006733
35,3521.92,0.65325,0.85692,0.99825,0.39788,0.006634,0.006634,0.006634
36,3622.6,0.64963,0.85742,0.99833,0.39646,0.006535,0.006535,0.006535
37,3723,0.6464,0.85667,0.99833,0.39553,0.006436,0.006436,0.006436
38,3823.57,0.64735,0.85717,0.99833,0.3952,0.006337,0.006337,0.006337
39,3924.04,0.64723,0.85758,0.99833,0.3943,0.006238,0.006238,0.006238
40,4024.89,0.64474,0.85758,0.99825,0.39349,0.006139,0.006139,0.006139
41,4125.38,0.64214,0.85758,0.99833,0.39255,0.00604,0.00604,0.00604
42,4226.14,0.64613,0.8575,0.99833,0.39208,0.005941,0.005941,0.005941
43,4326.45,0.64517,0.85792,0.99833,0.39148,0.005842,0.005842,0.005842
44,4426.88,0.6398,0.85758,0.99825,0.39165,0.005743,0.005743,0.005743
45,4527.54,0.63952,0.85825,0.99842,0.39103,0.005644,0.005644,0.005644
46,4627.99,0.63749,0.85833,0.99833,0.39053,0.005545,0.005545,0.005545
47,4728.61,0.63635,0.85883,0.99833,0.3893,0.005446,0.005446,0.005446
48,4829.18,0.63353,0.85933,0.99833,0.38889,0.005347,0.005347,0.005347
49,4929.59,0.63263,0.85875,0.99833,0.38888,0.005248,0.005248,0.005248
50,5030,0.63639,0.85992,0.99833,0.38813,0.005149,0.005149,0.005149
51,5130.21,0.63323,0.86075,0.99842,0.38693,0.00505,0.00505,0.00505
52,5231.08,0.63054,0.8605,0.9985,0.38714,0.004951,0.004951,0.004951
53,5331.8,0.62972,0.86108,0.9985,0.38598,0.004852,0.004852,0.004852
54,5432.2,0.62532,0.86142,0.99858,0.38542,0.004753,0.004753,0.004753
55,5532.63,0.62684,0.86242,0.99858,0.38473,0.004654,0.004654,0.004654
56,5633.18,0.62451,0.863,0.99858,0.38231,0.004555,0.004555,0.004555
57,5733.49,0.62147,0.86333,0.99858,0.38193,0.004456,0.004456,0.004456
58,5833.72,0.61956,0.863,0.99858,0.38166,0.004357,0.004357,0.004357
59,5934.32,0.62188,0.86325,0.99858,0.38103,0.004258,0.004258,0.004258
60,6034.77,0.62107,0.86325,0.9985,0.37978,0.004159,0.004159,0.004159
61,6134.98,0.6163,0.864,0.9985,0.37873,0.00406,0.00406,0.00406
62,6235.33,0.61384,0.86392,0.99867,0.37842,0.003961,0.003961,0.003961
63,6335.61,0.61401,0.86425,0.99858,0.37721,0.003862,0.003862,0.003862
64,6436.07,0.61011,0.86483,0.99858,0.37663,0.003763,0.003763,0.003763
65,6536.65,0.61227,0.86542,0.9985,0.37634,0.003664,0.003664,0.003664
66,6637.11,0.60679,0.86575,0.9985,0.3757,0.003565,0.003565,0.003565
67,6737.58,0.60528,0.8665,0.9985,0.37467,0.003466,0.003466,0.003466
68,6837.87,0.60448,0.867,0.9985,0.37407,0.003367,0.003367,0.003367
69,6938.51,0.60693,0.86733,0.9985,0.37293,0.003268,0.003268,0.003268
70,7038.85,0.60377,0.86692,0.99858,0.37289,0.003169,0.003169,0.003169
71,7138.94,0.60565,0.86783,0.99858,0.37183,0.00307,0.00307,0.00307
72,7239.57,0.60261,0.86783,0.99858,0.37059,0.002971,0.002971,0.002971
73,7339.86,0.59527,0.868,0.99858,0.37017,0.002872,0.002872,0.002872
74,7440.01,0.59242,0.86875,0.99858,0.3696,0.002773,0.002773,0.002773
75,7540.36,0.59967,0.86925,0.99867,0.36937,0.002674,0.002674,0.002674
76,7640.69,0.59459,0.86942,0.99875,0.36831,0.002575,0.002575,0.002575
77,7741.02,0.59022,0.86983,0.99883,0.36784,0.002476,0.002476,0.002476
78,7841.49,0.58396,0.86975,0.99883,0.36778,0.002377,0.002377,0.002377
79,7941.6,0.58554,0.87,0.99875,0.36677,0.002278,0.002278,0.002278
80,8041.79,0.58755,0.87,0.99883,0.36577,0.002179,0.002179,0.002179
81,8142.08,0.58006,0.87083,0.99883,0.36464,0.00208,0.00208,0.00208
82,8242.82,0.58152,0.87175,0.99883,0.36359,0.001981,0.001981,0.001981
83,8343.24,0.57839,0.87167,0.99883,0.3623,0.001882,0.001882,0.001882
84,8443.83,0.57251,0.87183,0.99883,0.36213,0.001783,0.001783,0.001783
85,8544.3,0.57584,0.872,0.99883,0.36164,0.001684,0.001684,0.001684
86,8644.87,0.57305,0.872,0.99883,0.3612,0.001585,0.001585,0.001585
